Metric,Value (£’000)
Operating activities,"391,011"
Acquisition of investments,"-14,553"
Disposal of investments,"41,276"
Repayment of shareholder loan investments,"28,439"
Share buybacks,"-80,417"
Amounts drawn under debt facilities,"-30,000"
Debt interest,"-102,708"
Dividends paid,"-249,777"
Net change in cash,"-66,190"
