Sett_Date,Sett_Period,Scottish Wind Output,England/Wales Wind Output,Total
2025-04-01,1,1607.602,2128.474,3736.076
2025-04-01,2,1697.146,2078.652,3775.798
2025-04-01,3,1793.008,2206.618,3999.626
2025-04-01,4,1817.176,2610.19,4427.366
2025-04-01,5,1736.936,2778.262,4515.198
2025-04-01,6,1694.264,2792.692,4486.956
2025-04-01,7,1751.566,2641.294,4392.86
2025-04-01,8,1873.854,2544.832,4418.686
2025-04-01,9,1947.904,2589.44,4537.344
2025-04-01,10,2090.476,2643.15,4733.626
2025-04-01,11,2164.346,2710.03,4874.376
2025-04-01,12,2237.824,2710.516,4948.34
2025-04-01,13,2302.128,2823.108,5125.236
2025-04-01,14,2239.548,2945.826,5185.374
2025-04-01,15,2136.256,3023.694,5159.95
2025-04-01,16,2206.924,3200.702,5407.626
2025-04-01,17,2215.658,3192.378,5408.036
2025-04-01,18,2127.872,3119.14,5247.012
2025-04-01,19,1968.238,3175.516,5143.754
2025-04-01,20,2159.108,3384.0,5543.108
2025-04-01,21,2549.774,3486.686,6036.46
2025-04-01,22,2791.898,3503.958,6295.856
2025-04-01,23,3128.274,3531.978,6660.252
2025-04-01,24,3690.974,3597.992,7288.966
2025-04-01,25,4204.038,3704.618,7908.656
2025-04-01,26,3963.152,3706.564,7669.716
2025-04-01,27,4326.66,3684.78,8011.44
2025-04-01,28,4252.93,3581.944,7834.874
2025-04-01,29,3720.598,3621.598,7342.196
2025-04-01,30,3336.936,3848.01,7184.946
2025-04-01,31,3112.834,4437.7,7550.534
2025-04-01,32,3413.618,4817.754,8231.372
2025-04-01,33,3853.15,5384.552,9237.702
2025-04-01,34,4247.338,5817.89,10065.228
2025-04-01,35,4402.522,6053.002,10455.524
2025-04-01,36,4387.664,6334.044,10721.708
2025-04-01,37,4332.272,6666.236,10998.508
2025-04-01,38,4424.476,7230.532,11655.008
2025-04-01,39,4248.47,7813.178,12061.648
2025-04-01,40,4351.322,8185.94,12537.262
2025-04-01,41,4541.008,8598.796,13139.804
2025-04-01,42,4631.432,8963.744,13595.176
2025-04-01,43,4669.848,8880.364,13550.212
