Statement,Metric,Value
Balance Sheet,Investments at fair value through profit or loss,5142245
Balance Sheet,Interest rate swaps (non-current),39999
Balance Sheet,Receivables (Current Assets),18537
Balance Sheet,Cash & cash equivalents (Group only),5795
Balance Sheet,Total Current + Non-Current,5182244
Balance Sheet,Loans & Borrowings (non-current),1760000
Balance Sheet,Payables (current liabilities),23690
Balance Sheet,Net Assets / Equity,3409104
